Country Name,Country Code,Fuerzalaboral,latitud,Longitud,Year
Brasil,BRA,45714195,-10,-55,2018
Colombia,COL,11532908,4.3,-74.79,2018
Ecuador,ECU,3508491,-1.83,-78.183,2018
Panam?,PAN,804027,8.99,-79.520,2018
Peru,PER,8398895,-12.04,-77.03,2018
Venezuela, RB,5162000,6.42,-66.59,2018
